"VMI",1352230,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SMU",1351193,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"DTAG",1352805,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1350101,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"ORB",1402602,"KVARZ CH1-75A ACTIVE H-MASER"
"MTC",1353002,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1352056,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SP",1350767,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"KRIS",1350739,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NPLI",1352245,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIST",1352032,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"IMBH",1352685,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1930005,"GROUND-STATE HYPERFINETRANSITION OF 87 Rb"
"NRL",1401004,"UNSPECIFIED HYDROGEN MASER"
"SP",1352746,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NTSC",1352965,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"OP",1353054,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"DFNT",1361811,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"USNO",1350173,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1350717,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400701,"MICROSEMI ACTIVE H-MASER MHM 2000/2001"
"NPLI",1405201,"UNSPECIFIED HYDROGEN MASER"
"VSL",1350456,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"AUS",1361141,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"KRIS",1405626,"UNSPECIFIED HYDROGEN MASER"
"ROA",1350583,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NPLI",1352796,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1350142,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SU",1403818,"VREMYA-CH VCH-1003M ACTIVE H-MASER"
"VSL",1350731,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"DFNT",1362866,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"MIKE",1404180,"KVARZ CH1-75A ACTIVE H-MASER"
"BY",1404278,"VREMYA-CH VCH-1005 ACTIVE H-MASER"
"NICT",1351778,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"INPL",1352480,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1351697,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400732,"MICROSEMI ACTIVE H-MASER MHM 2010"
"JATC",1351818,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NPL",1351275,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1351575,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1350254,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"TL",1352366,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIST",1400206,"MICROSEMI ACTIVE H-MASER MHM 2010"
"OP",1350609,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NTSC",1352959,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1351882,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"PTB",1351072,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"LT",1351868,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SMD",1407909,"UNSPECIFIED HYDROGEN MASER"
"USNO",1351125,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1351944,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"TL",1352634,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NRL",1351245,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SP",1407223,"KVARZ CH1-75A ACTIVE H-MASER"
"OP",1351556,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SP",1407232,"MICROSEMI ACTIVE H-MASER MHM 2010"
"SP",1352745,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"ESA",1402544,"T4S iMaser 3000 ACTIVE H-MASER"
"USNO",1350703,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1351543,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NTSC",1352921,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400710,"MICROSEMI ACTIVE H-MASER MHM 2010"
"SP",1361175,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"USNO",1400714,"MICROSEMI ACTIVE H-MASER MHM 2010"
"BEV",1353009,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400727,"MICROSEMI ACTIVE H-MASER MHM 2010"
"USNO",1350169,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400735,"MICROSEMI ACTIVE H-MASER MHM 2010"
"SP",1352750,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"TP",1351227,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"UME",1352703,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"PL",1351746,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NTSC",1352978,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIM",1351235,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NTSC",1404927,"MICROSEMI ACTIVE H-MASER MHM 2010"
"SU",1403814,"KVARZ CH1-75A ACTIVE H-MASER"
"USNO",1400716,"MICROSEMI ACTIVE H-MASER MHM 2010"
"NICT",1352570,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1351658,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"INTI",1362377,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"SCL",1352525,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SASO",1352932,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400737,"MICROSEMI ACTIVE H-MASER MHM 2010"
"USNO",1400723,"MICROSEMI ACTIVE H-MASER MHM 2010"
"NRL",1350719,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"APL",1403107,"UNSPECIFIED HYDROGEN MASER"
"NAO",1401301,"UNSPECIFIED HYDROGEN MASER"
"USNO",1351585,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"OP",1352985,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"IFAG",1361629,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"MTC",1353005,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"OP",1400889,"KVARZ CH1-75A ACTIVE H-MASER"
"NRL",1362834,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"NPL",1353167,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIM",1404878,"MICROSEMI ACTIVE H-MASER MHM 2010"
"ZA",1402901,"UNSPECIFIED HYDROGEN MASER"
"TL",1403052,"KVARZ CH1-75A ACTIVE H-MASER"
"NRL",1360387,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"KZ",1352667,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1351226,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"KRIS",1351693,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"KRIS",1351783,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"PTB",1400509,"VREMYA-CH VCH-1003M ACTIVE H-MASER"
"DTAG",1352966,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIM",1404835,"MICROSEMI ACTIVE H-MASER MHM 2010"
"IFAG",1361173,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"SG",1407701,"UNSPECIFIED HYDROGEN MASER"
"UA",1407854,"UNSPECIFIED HYDROGEN MASER"
"ONRJ",1350102,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIM",1352744,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NTSC",1352928,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"ROA",1401436,"UNSPECIFIED HYDROGEN MASER"
"USNO",1350166,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"ZA",1361821,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"OP",1350774,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"CH",1352117,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SP",1407210,"MICROSEMI ACTIVE H-MASER MHM 2010"
"NICT",1351866,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"CNMP",1361806,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"NRL",1401001,"UNSPECIFIED HYDROGEN MASER"
"MIKE",1404189,"T4S iMaser 3000 ACTIVE H-MASER"
"SU",1403844,"VREMYA-CH VCH-1003M ACTIVE H-MASER"
"ESA",1352025,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"TL",1352636,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NTSC",1351018,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SP",1351188,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"ESA",1402543,"T4S iMaser 3000 ACTIVE H-MASER"
"OP",1350355,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"JATC",1352976,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NAO",1351689,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"CNM",1353055,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SASO",1352923,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIST",1352031,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIST",1350408,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400728,"MICROSEMI ACTIVE H-MASER MHM 2010"
"NMIJ",1405012,"VREMYA-CH VCH-1003M ACTIVE H-MASER"
"NIST",1400210,"MICROSEMI ACTIVE H-MASER MHM 2010"
"KZ",1352202,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1351694,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIST",1352672,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NTSC",1352981,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SG",1360522,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"USNO",1351598,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
